FIOStevilkaZadeve;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY
471491;BREZ POŠKODBE;NOVA GORICA;5.09.2005;17;D;NASELJE;LOKALNA CESTA;95705;ŽEL-P KANAL-PLAVE;0;NI ODSEKOV;200;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;ČELNO TRČENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;0;0
459964;BREZ POŠKODBE;NOVA GORICA;19.06.2005;5;D;NASELJE;LOKALNA CESTA;95713;KANAL-GRGAR;0;NI ODSEKOV;32625;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
449289;BREZ POŠKODBE;NOVA GORICA;5.04.2005;8;D;NASELJE;LOKALNA CESTA;95726;AJŠEVICA-KROMBERK-NG;0;NI ODSEKOV;500;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;OBLAČNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
465248;BREZ POŠKODBE;NOVA GORICA;19.07.2005;7;N;CESTA;LOKALNA CESTA;95728;ERJAVČEVA-RAFUT-RD;0;NI ODSEKOV;800;CESTA;NEPRILAGOJENA HITROST;ČELNO TRČENJE;OBLAČNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;0;0
458652;BREZ POŠKODBE;NOVA GORICA;7.06.2005;11;N;CESTA;LOKALNA CESTA;95728;ERJAVČEVA-RAFUT-RD;0;NI ODSEKOV;800;CESTA;NEPRILAGOJENA HITROST;BOČNO TRČENJE;OBLAČNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;0;0
479137;BREZ POŠKODBE;NOVA GORICA;20.10.2005;19;D;NASELJE;LOKALNA CESTA;95728;ERJAVČEVA-RAFUT-RD;0;NI ODSEKOV;1000;CESTA;NEPRILAGOJENA HITROST;BOČNO TRČENJE;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;0;0
479799;LAŽJA TELESNA POŠKODBA;NOVA GORICA;25.10.2005;14;N;CESTA;LOKALNA CESTA;95728;ERJAVČEVA-RAFUT-RD;0;NI ODSEKOV;1600;CESTA;NEPRILAGOJENA HITROST;ČELNO TRČENJE;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;0;0
486960;LAŽJA TELESNA POŠKODBA;NOVA GORICA;8.12.2005;13;D;NASELJE;LOKALNA CESTA;95732;RD-STARA GORA-PRI BAJTI;0;NI ODSEKOV;500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;ČELNO TRČENJE;JASNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;0;0
456052;LAŽJA TELESNA POŠKODBA;NOVA GORICA;21.05.2005;22;N;CESTA;LOKALNA CESTA;95732;RD-STARA GORA-PRI BAJTI;0;NI ODSEKOV;800;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRČENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
487119;BREZ POŠKODBE;NOVA GORICA;9.12.2005;14;N;CESTA;LOKALNA CESTA;95733;R.DOLINA-ŠEMPETER-VRTOJBA;0;NI ODSEKOV;3000;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;OPLAŽENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;0;0
467804;HUDA TELESNA POŠKODBA;NOVA GORICA;6.08.2005;15;D;NASELJE;LOKALNA CESTA;95733;R.DOLINA-ŠEMPETER-VRTOJBA;0;NI ODSEKOV;4000;CESTA;NEPRILAGOJENA HITROST;ČELNO TRČENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
471439;BREZ POŠKODBE;NOVA GORICA;2.09.2005;20;N;CESTA;LOKALNA CESTA;37201;020050 VIPOLŽE - HUM;37201;LC 020030 - MEJA ITALIJA;500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;JASNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;0;0
438932;BREZ POŠKODBE;NOVA GORICA;7.01.2005;9;N;CESTA;LOKALNA CESTA;37201;020050 VIPOLŽE - HUM;37201;LC 020030 - MEJA ITALIJA;600;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;0;0
477969;BREZ POŠKODBE;NOVA GORICA;16.10.2005;19;N;CESTA;LOKALNA CESTA;95710;020020 MEDANA - VIPOLŽE;95710;LC 020010 - LC 020040;2500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRČENJE V OBJEKT;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
448674;SMRT;NOVA GORICA;2.04.2005;3;N;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;0;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;PREVRNITEV VOZILA;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
474512;BREZ POŠKODBE;NOVA GORICA;24.09.2005;14;N;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;50;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;ČELNO TRČENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
461265;BREZ POŠKODBE;NOVA GORICA;27.06.2005;3;N;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;100;CESTA;OSTALO;POVOŽENJE ŽIVALI;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
455517;BREZ POŠKODBE;NOVA GORICA;19.05.2005;14;N;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;200;CESTA;PREMIKI Z VOZILOM;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;0;0
458326;HUDA TELESNA POŠKODBA;NOVA GORICA;6.06.2005;4;N;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;200;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;OBLAČNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
466816;LAŽJA TELESNA POŠKODBA;NOVA GORICA;1.08.2005;18;D;NASELJE;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;1000;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0
