ENOTA;VOZNISKA_DOVOLJENJA
AJDOVŠČINA;17583
BREŽICE;16537
CELJE;43037
CERKNICA;11726
ČRNOMELJ;12370
DOMŽALE;40200
DRAVOGRAD;6174
GORNJA RADGONA;14273
GROSUPLJE;26584
HRASTNIK;6149
IDRIJA;11341
ILIRSKA BISTRICA;9567
IZOLA;10683
JESENICE;20844
KAMNIK;23890
KOČEVJE;11144
KOPER;36596
KRANJ;55892
KRŠKO;19504
LAŠKO;12093
LENART;12686
LENDAVA;15347
LITIJA;14132
LJUBLJANA;231078
LJUTOMER;12122
LOGATEC;9140
MARIBOR;95899
METLIKA;5694
MOZIRJE;11445
MURSKA SOBOTA;38151
NEZNANA UPRAVNA ENOTA;11761
NOVA GORICA;42763
NOVO MESTO;44122
ORMOŽ;10956
PESNICA;12945
PIRAN;11901
POSTOJNA;15169
PTUJ;46037
RADLJE OB DRAVI;10960
RADOVLJICA;24581
RAVNE NA KOROŠKEM;17354
RIBNICA;9390
RUŠE;10064
ŠENTJUR PRI CELJU;13858
SEVNICA;12336
SEŽANA;17897
ŠKOFJA LOKA;28728
SLOVENJ GRADEC;15444
SLOVENSKA BISTRICA;24942
SLOVENSKE KONJICE;16222
ŠMARJE PRI JELŠAH;21862
TOLMIN;12995
TRBOVLJE;10972
TREBNJE;13815
TRŽIČ;10374
VELENJE;30078
VRHNIKA;16773
ZAGORJE OB SAVI;11185
ŽALEC;29410
Grand;1406775
