Mesec v letu;Prometne nesreče - SKUPAJ;Prometne nesreče s smrtnim izidom;Prometne nesreče s telesno poškodbo;Prometne nesreče z materialno škodo;Število udeležencev - SKUPAJ;Število udeležencev - mrtvi;Število udeležencev s hudo telesno poškodbo;Število udeležencev z lahko telesno poškodbo;Število udeležencev brez poškodbe;Leto
Januar;3153;16;678;2459;6221;18;67;954;5182;2003
Februar;3028;8;690;2330;6058;9;67;949;5033;2003
Marec;2958;19;785;2154;5889;20;74;1072;4723;2003
April;3135;16;820;2299;6312;16;113;1094;5089;2003
Maj;3501;21;1078;2402;7060;26;128;1440;5466;2003
Junij;3621;21;1139;2461;7206;24;157;1475;5550;2003
Julij;3646;28;1114;2504;7440;30;172;1448;5790;2003
Avgust;3356;22;1082;2252;6816;24;150;1390;5252;2003
September;3775;18;1123;2634;7732;20;140;1481;6091;2003
Oktober;4066;17;1103;2946;8126;17;124;1475;6510;2003
November;3271;12;874;2385;6591;14;100;1193;5284;2003
December;3660;22;970;2668;7193;24;101;1339;5729;2003
Januar;3256;16;851;2389;6449;16;74;1240;5119;2004
Februar;3404;20;891;2493;6635;20;90;1260;5265;2004
Marec;3463;25;956;2482;7010;28;99;1368;5515;2004
April;3368;14;977;2377;6855;15;116;1418;5306;2004
Maj;4142;25;1328;2789;8359;25;141;1819;6374;2004
Junij;3915;22;1262;2631;8024;22;129;1752;6121;2004
Julij;3587;23;1147;2417;7336;24;126;1566;5620;2004
Avgust;3592;28;1220;2344;7398;33;187;1653;5525;2004
September;3692;25;1126;2541;7468;30;136;1516;5786;2004
Oktober;4042;28;1176;2838;8183;30;124;1662;6367;2004
November;3335;15;824;2496;6602;15;83;1131;5373;2004
December;3208;13;709;2486;6297;16;86;947;5248;2004
Januar;2385;14;667;1704;4492;15;70;858;3549;2005
Februar;1942;8;540;1394;3713;9;54;730;2920;2005
Marec;2222;12;625;1585;4439;14;50;879;3496;2005
April;2288;26;718;1544;4540;37;99;930;3474;2005
Maj;2763;15;969;1779;5412;19;146;1161;4086;2005
Junij;2774;20;1025;1729;5472;24;144;1268;4036;2005
Julij;2577;29;953;1595;5127;32;155;1188;3752;2005
Avgust;2404;30;848;1526;4758;30;128;1089;3511;2005
September;2916;19;1018;1879;5824;19;127;1320;4358;2005
Oktober;3106;23;990;2093;6094;23;107;1302;4662;2005
November;2834;16;894;1924;5548;16;95;1216;4221;2005
December;2883;18;832;2033;5518;20;91;1107;4300;2005
Januar;2275;8;650;1617;4551;11;56;932;3552;2006
Februar;2548;11;780;1757;4954;13;75;1123;3743;2006
Marec;2592;14;760;1818;5120;15;86;1037;3982;2006
April;2574;25;873;1676;5168;26;78;1227;3837;2006
Maj;2833;24;1021;1788;5536;28;112;1288;4108;2006
Junij;2926;27;1161;1738;5874;27;176;1490;4181;2006
Julij;2646;23;1007;1616;5204;24;126;1333;3721;2006
Avgust;2574;26;947;1601;5015;26;110;1261;3618;2006
September;2873;20;1085;1768;5702;23;131;1463;4085;2006
Oktober;2949;18;1095;1836;5858;20;116;1466;4256;2006
November;2519;15;866;1638;5045;20;83;1191;3751;2006
December;2260;22;745;1493;4376;29;71;1044;3232;2006
Januar;2315;19;856;1440;4530;21;82;1166;3261;2007
Februar;1894;16;663;1215;3760;16;57;1032;2655;2007
Marec;2541;15;922;1604;5020;15;76;1285;3644;2007
April;2645;25;991;1629;5154;27;132;1292;3703;2007
Maj;2820;23;1170;1627;5538;23;137;1533;3845;2007
Junij;2906;27;1215;1664;5682;32;147;1580;3923;2007
Julij;2742;36;1074;1632;5252;38;123;1401;3690;2007
Avgust;2655;24;1015;1616;5050;32;130;1278;3610;2007
September;2668;24;974;1670;5213;28;132;1273;3780;2007
Oktober;2695;18;886;1791;5172;20;111;1103;3938;2007
November;2356;16;756;1584;4538;17;72;1005;3444;2007
December;2164;20;629;1515;4050;24;64;826;3136;2007
Januar;1986;14;629;1343;3732;14;62;823;2833;2008
Februar;2026;19;674;1333;3899;19;68;902;2910;2008
Marec;2307;11;723;1573;4459;12;66;986;3395;2008
April;2205;21;698;1486;4177;25;94;915;3143;2008
Maj;1801;14;766;1021;3498;15;122;952;2409;2008
Junij;1817;15;788;1014;3575;15;113;1060;2387;2008
Julij;1696;17;788;891;3320;18;109;995;2198;2008
Avgust;1790;26;834;930;3511;30;120;1039;2322;2008
September;1726;16;786;924;3449;16;94;990;2349;2008
Oktober;2084;19;813;1252;4103;21;103;1068;2911;2008
November;1727;12;647;1068;3344;13;62;865;2404;2008
December;1618;16;592;1010;3072;16;55;746;2255;2008
Januar;1641;10;578;1053;3095;11;64;781;2239;2009
Februar;1536;10;527;999;2975;13;54;752;2156;2009
Marec;1699;10;628;1061;3306;12;44;908;2342;2009
April;1675;16;722;937;3351;20;104;994;2233;2009
