Regija;Prometne nesreče - SKUPAJ;Prometne nesreče s smrtnim izidom;Prometne nesreče s telesno poškodbo;Prometne nesreče z materialno škodo;Število udeležencev - SKUPAJ;Število udeležencev - mrtvi;Število udeležencev s hudo telesno poškodbo;Število udeležencev z lahko telesno poškodbo;Število udeležencev brez poškodbe;Leto
SLOVENIJA;30401;263;11151;18987;58959;293;1263;14774;42629;2007
Pomurska;1686;24;522;1140;2889;28;79;616;2166;2007
Podravska;7590;44;2814;4732;15188;51;186;4109;10842;2007
Koroška;837;8;375;454;1658;9;34;530;1085;2007
Savinjska;3935;41;1647;2247;7759;41;152;2246;5320;2007
Zasavska;477;6;144;327;911;6;7;208;690;2007
Spodnjeposavska;757;6;259;492;1377;6;40;288;1043;2007
Jugovzhodna Slovenija;1756;21;718;1017;3378;21;90;970;2297;2007
Osrednjeslovenska;7649;56;2959;4634;15080;66;374;3851;10789;2007
Gorenjska;2124;24;647;1453;4027;28;108;746;3145;2007
Notranjsko-kraška;627;12;246;369;1190;15;30;327;818;2007
Goriška;1271;7;411;853;2349;7;63;460;1819;2007
Obalno-kraška;1692;14;409;1269;3153;15;100;423;2615;2007
Pomurska;1155;16;432;707;2070;16;71;514;1469;2008
Podravska;5026;41;2329;2656;10293;42;167;3451;6633;2008
Koroška;654;7;268;379;1259;8;27;338;886;2008
Savinjska;2789;32;1220;1537;5535;33;153;1676;3673;2008
Zasavska;352;3;124;225;658;3;13;163;479;2008
Spodnjeposavska;564;6;203;355;1050;7;29;249;765;2008
Jugovzhodna Slovenija;1228;16;552;660;2335;18;85;681;1551;2008
Osrednjeslovenska;6308;38;2151;4119;12211;41;278;2672;9220;2008
Gorenjska;1700;16;541;1143;3216;18;85;610;2503;2008
Notranjsko-kraška;477;4;172;301;886;4;28;211;643;2008
Goriška;1181;13;369;799;2037;15;69;378;1575;2008
Obalno-kraška;1349;8;377;964;2589;9;63;398;2119;2008
Pomurska;929;6;430;493;1653;6;49;536;1062;2009
Podravska;4397;21;2254;2122;9078;23;148;3392;5515;2009
Koroška;582;5;259;318;1100;5;39;321;735;2009
Savinjska;2453;20;1255;1178;5020;25;136;1822;3037;2009
Zasavska;269;4;104;161;563;4;14;147;398;2009
Spodnjeposavska;570;5;175;390;1081;5;22;227;827;2009
Jugovzhodna Slovenija;1165;16;512;637;2131;19;75;600;1437;2009
Osrednjeslovenska;5581;34;2043;3504;10790;35;291;2500;7964;2009
Gorenjska;1579;20;531;1028;2939;23;98;600;2218;2009
Notranjsko-kraška;477;6;164;307;848;6;30;178;634;2009
Goriška;1137;10;373;754;1922;11;74;381;1456;2009
Obalno-kraška;1458;7;335;1116;2479;9;56;378;2036;2009
Pomurska;987;10;371;606;1708;10;48;425;1225;2010
Podravska;4482;17;1865;2600;8763;18;115;2609;6021;2010
Koroška;690;4;248;438;1311;4;22;337;948;2010
Savinjska;2468;14;999;1455;4804;14;110;1324;3356;2010
Zasavska;234;1;94;139;447;2;14;111;320;2010
Spodnjeposavska;624;6;177;441;1140;6;35;196;903;2010
Jugovzhodna Slovenija;1308;12;452;844;2387;13;58;598;1718;2010
Osrednjeslovenska;5986;30;1962;3994;11633;33;235;2452;8913;2010
Gorenjska;1820;17;442;1361;3248;18;85;488;2657;2010
Notranjsko-kraška;527;3;164;360;987;3;25;206;753;2010
Goriška;892;5;314;573;1584;6;56;329;1193;2010
