Ura v dnevu;Prometne nesreče - SKUPAJ;Prometne nesreče s smrtnim izidom;Prometne nesreče s telesno poškodbo;Prometne nesreče z materialno škodo;Število udeležencev - SKUPAJ;Število udeležencev - mrtvi;Število udeležencev s hudo telesno poškodbo;Število udeležencev z lahko telesno poškodbo;Število udeležencev brez poškodbe;Leto
0;604;6;163;435;1052;7;24;230;791;2003
1;487;2;144;341;834;2;22;205;605;2003
2;449;4;114;331;721;5;24;159;533;2003
3;390;9;108;273;675;12;28;160;475;2003
4;403;4;129;270;694;4;31;172;487;2003
5;782;8;275;499;1430;10;46;367;1007;2003
6;1454;8;493;953;2922;8;49;620;2245;2003
7;1771;4;459;1308;3566;6;34;584;2942;2003
8;1835;5;424;1406;3688;6;50;529;3103;2003
9;2020;12;442;1566;4092;13;40;560;3479;2003
10;2346;4;548;1794;4856;4;59;709;4084;2003
11;2556;9;619;1928;5228;10;54;788;4376;2003
12;2328;10;594;1724;4787;11;56;779;3941;2003
13;2662;12;729;1921;5494;12;72;965;4445;2003
14;3038;12;888;2138;6421;13;83;1234;5091;2003
15;3147;10;849;2288;6570;11;92;1126;5341;2003
16;2787;14;778;1995;5773;15;100;1025;4633;2003
17;2578;21;746;1811;5287;22;111;1004;4150;2003
18;2347;16;712;1619;4728;17;88;944;3679;2003
19;2061;12;629;1420;4055;12;96;821;3126;2003
20;1651;9;523;1119;3215;9;68;744;2394;2003
21;1399;13;447;939;2741;16;69;650;2006;2003
22;1200;10;378;812;2265;10;52;571;1632;2003
23;875;6;265;604;1550;7;45;364;1134;2003
0;655;9;189;457;1128;9;23;291;805;2004
1;555;12;170;373;987;12;39;281;655;2004
2;456;5;145;306;773;5;23;199;546;2004
3;429;3;94;332;704;3;18;136;547;2004
4;428;6;137;285;749;7;24;203;515;2004
5;822;8;304;510;1513;10;46;435;1022;2004
6;1601;11;511;1079;3164;13;54;689;2408;2004
7;1868;4;537;1327;3716;4;39;693;2980;2004
8;1852;7;460;1385;3665;9;42;586;3028;2004
9;2080;8;502;1570;4195;8;46;636;3505;2004
10;2338;8;578;1752;4821;8;52;763;3998;2004
11;2525;9;644;1872;5192;9;54;844;4285;2004
12;2443;11;630;1802;5076;13;59;839;4165;2004
13;2752;9;751;1992;5721;11;77;1015;4618;2004
14;3101;5;885;2211;6484;6;94;1185;5199;2004
15;3233;10;898;2352;6821;10;74;1263;5474;2004
16;2757;14;806;1937;5735;15;78;1080;4562;2004
17;2632;21;830;1781;5434;21;112;1116;4185;2004
18;2607;27;860;1720;5411;29;121;1273;3988;2004
19;2185;17;730;1438;4394;17;84;1068;3225;2004
20;1783;14;603;1166;3570;15;80;914;2561;2004
21;1582;11;511;1060;5080;11;54;773;2242;2004
22;1336;17;394;925;2517;21;58;605;1833;2004
23;984;8;298;678;1766;8;40;445;1273;2004
0;510;7;140;363;846;7;18;181;640;2005
1;414;6;129;279;690;6;31;160;493;2005
2;344;6;79;259;548;6;16;108;418;2005
3;334;10;96;228;572;11;18;139;404;2005
4;331;8;93;230;573;10;29;140;394;2005
5;638;5;251;382;1140;5;27;305;803;2005
6;1174;12;425;737;2289;14;53;547;1675;2005
7;1452;4;484;964;2833;5;46;607;2175;2005
8;1319;4;352;963;2548;6;28;443;2071;2005
9;1480;9;431;1040;2962;10;44;549;2359;2005
10;1678;9;507;1162;3404;12;56;602;2734;2005
11;1803;10;533;1260;3614;10;66;635;2903;2005
12;1717;9;501;1207;3503;10;36;685;2772;2005
13;1962;7;614;1341;3978;7;49;807;3115;2005
14;2211;12;740;1459;4507;14;68;950;3475;2005
15;2197;8;755;1434;4533;15;95;974;3449;2005
16;2021;17;687;1317;4097;17;94;901;3085;2005
17;1868;19;686;1163;3759;19;101;846;2793;2005
18;1865;11;657;1197;3677;14;94;846;2723;2005
19;1532;17;525;990;2982;17;93;662;2210;2005
20;1305;13;451;841;2491;13;60;619;1799;2005
21;1210;12;416;782;2246;13;51;593;1589;2005
22;1019;10;320;689;1881;10;55;454;1362;2005
23;710;5;207;498;1264;7;38;295;924;2005
0;507;9;149;349;882;10;22;238;612;2006
1;462;6;147;309;790;6;26;211;547;2006
2;359;0;101;258;581;0;17;131;433;2006
3;347;5;93;249;594;7;24;116;447;2006
4;378;4;126;248;590;7;12;167;404;2006
5;683;6;270;407;1222;6;48;340;828;2006
6;1185;6;435;744;2306;6;51;576;1673;2006
7;1307;4;477;826;2610;6;43;639;1922;2006
8;1337;7;422;908;2640;7;39;548;2046;2006
9;1472;6;441;1025;2926;9;46;549;2322;2006
10;1708;12;519;1177;3407;12;36;694;2665;2006
11;1789;10;613;1166;3685;13;71;779;2822;2006
12;1768;6;571;1191;3555;6;45;748;2756;2006
13;1912;8;662;1242;3916;9;68;843;2996;2006
14;2299;15;839;1445;4756;16;80;1135;3525;2006
15;2370;9;849;1512;4885;11;86;1129;3659;2006
16;2087;15;727;1345;4217;16;87;942;3172;2006
17;1924;19;715;1190;3937;21;72;976;2868;2006
18;1916;24;762;1130;3789;24;103;1003;2659;2006
19;1585;13;579;993;3098;13;52;808;2225;2006
20;1376;20;522;834;2698;22;66;784;1826;2006
21;1120;7;412;701;2170;10;40;643;1477;2006
22;969;12;332;625;1852;12;47;513;1280;2006
23;709;10;227;472;1297;13;39;343;902;2006
0;456;10;110;336;791;10;28;176;577;2007
1;377;9;114;254;621;12;24;154;431;2007
2;351;1;116;234;579;1;21;157;400;2007
3;278;5;74;199;457;6;17;112;322;2007
4;354;4;125;225;573;6;20;166;381;2007
5;605;16;228;361;1062;17;35;291;719;2007
6;1135;10;462;663;2149;10;42;588;1509;2007
7;1322;9;512;801;2613;9;44;672;1888;2007
8;1222;6;379;837;2346;6;28;476;1836;2007
9;1515;10;501;1004;2927;12;33;627;2255;2007
10;1586;5;508;1073;3139;5;43;656;2435;2007
11;1737;2;634;1101;3422;2;59;776;2585;2007
12;1624;11;582;1031;3218;12;54;757;2395;2007
13;1841;12;712;1117;3721;14;65;941;2701;2007
14;2156;20;794;1342;4350;23;82;1048;3197;2007
15;2290;11;899;1380;4692;12;95;1192;3393;2007
16;2101;18;796;1287;4225;18;77;1054;3076;2007
17;1960;15;762;1183;3829;15;100;969;2745;2007
18;1856;15;739;1102;3647;16;99;964;2568;2007
19;1569;17;628;924;3026;19;78;871;2058;2007
20;1331;19;524;788;2577;28;79;768;1702;2007
21;1128;15;414;699;2147;17;55;620;1455;2007
22;959;14;339;606;1709;14;49;460;1186;2007
23;648;9;199;440;1139;9;36;279;815;2007
0;368;3;104;261;624;4;24;131;465;2008
1;286;2;75;209;461;2;12;108;339;2008
2;231;3;70;158;377;4;15;99;259;2008
3;213;2;68;143;341;2;24;90;225;2008
4;235;3;87;145;397;4;14;114;265;2008
5;482;4;205;273;810;4;27;245;534;2008
6;843;7;344;492;1603;7;32;442;1122;2008
7;1003;6;387;610;1935;6;26;465;1438;2008
8;974;4;344;626;1880;4;20;436;1420;2008
9;1058;9;368;681;2068;9;40;449;1570;2008
10;1167;6;419;742;2249;6;41;516;1686;2008
11;1254;9;480;765;2468;9;49;594;1816;2008
12;1249;6;466;777;2471;7;54;592;1818;2008
13;1349;9;535;805;2719;9;74;667;1969;2008
14;1621;8;658;955;3262;8;70;828;2356;2008
15;1714;11;684;1019;3441;12;70;859;2500;2008
16;1540;13;633;894;3093;18;85;772;2218;2008
17;1464;19;589;856;2922;21;89;748;2064;2008
18;1459;23;596;840;2840;23;83;773;1961;2008
19;1190;18;498;674;2368;18;73;693;1584;2008
20;1045;9;409;627;1969;9;49;551;1360;2008
21;836;10;307;519;1651;12;41;521;1077;2008
22;708;8;245;455;1329;8;30;400;891;2008
23;494;8;167;319;861;8;26;248;579;2008
0;306;4;108;194;536;5;30;153;348;2009
1;260;1;80;179;422;1;17;106;298;2009
2;208;3;57;148;326;3;9;79;235;2009
3;215;2;69;144;361;3;9;105;244;2009
4;218;4;78;136;365;6;29;102;228;2009
5;429;6;197;226;781;8;33;259;481;2009
6;662;4;300;358;1243;4;27;366;846;2009
7;892;6;365;521;1712;7;29;459;1217;2009
8;895;7;343;545;1705;7;32;426;1240;2009
9;946;3;353;590;1781;3;29;422;1327;2009
10;1149;4;441;704;2219;4;46;527;1642;2009
11;1197;4;478;715;2305;4;42;580;1679;2009
12;1169;7;490;672;2313;7;49;614;1643;2009
13;1235;6;532;697;2437;6;60;659;1712;2009
14;1418;9;652;757;2812;12;71;827;1902;2009
15;1570;14;675;881;3193;14;74;884;2221;2009
16;1374;10;572;792;2689;15;75;707;1892;2009
17;1287;14;568;705;2489;14;85;721;1669;2009
18;1285;8;527;750;2513;9;71;734;1699;2009
19;1097;12;444;641;2100;12;55;634;1399;2009
20;897;5;383;509;1687;5;61;527;1094;2009
21;823;8;331;484;1633;8;37;565;1023;2009
22;609;7;236;366;1178;8;34;390;746;2009
23;456;6;156;294;804;6;28;236;534;2009
0;292;6;84;202;489;6;18;115;350;2010
1;244;2;63;179;370;2;4;78;286;2010
2;188;4;50;134;308;5;9;76;218;2010
3;223;2;69;152;337;2;10;91;234;2010
4;207;2;59;146;329;2;13;79;235;2010
5;424;4;146;274;723;5;22;183;513;2010
6;767;4;297;466;1397;4;27;347;1019;2010
7;1031;6;348;677;1926;6;34;405;1481;2010
8;1003;5;298;700;1895;8;22;373;1492;2010
9;1051;9;321;721;1976;9;34;380;1553;2010
10;1228;5;389;834;2380;5;25;487;1863;2010
11;1309;5;428;876;2520;5;49;530;1936;2010
12;1203;4;375;824;2295;4;43;459;1789;2010
