Udeleženci;Število udeležencev - SKUPAJ;Število udeležencev - mrtvi;Število udeležencev - z hudo telesno poškodbo;Število udeležencev - z lahko telesno poškodbo;Število udeležencev - brez poškodbe;Leto
Vrste udeležencev - SKUPAJ;82644;242;1393;15310;65699;2003
Vozniki - SKUPAJ;74012;153;840;10346;62673;2003
..osebnih avtomobilov;62674;94;385;8308;53887;2003
..tovornih in specialnih vozil;6343;4;17;286;6036;2003
..avtobusov;602;0;1;9;592;2003
..traktorjev;343;7;10;37;289;2003
..motornih koles;837;26;172;360;279;2003
..mopedov in koles z motorjem;972;6;99;491;376;2003
..štirikolesnikov;0;0;0;0;0;2003
..trikolesnikov;0;0;0;0;0;2003
..drugih motornih vozil;998;2;6;65;925;2003
..koles;1243;14;150;790;289;2003
Potniki;6041;51;340;4298;1352;2003
Pešci;1002;38;211;648;105;2003
Drugi;1589;0;2;18;1569;2003
Vrste udeležencev - SKUPAJ;86616;274;1391;13332;67619;2004
Vozniki - SKUPAJ;76466;176;870;11333;64087;2004
..osebnih avtomobilov;64474;108;406;9205;54755;2004
..tovornih in specialnih vozil;6837;6;19;318;6494;2004
..avtobusov;643;0;1;11;631;2004
..traktorjev;363;11;7;29;316;2004
..motornih koles;918;23;169;432;294;2004
..mopedov in koles z motorjem;882;6;104;454;318;2004
..štirikolesnikov;0;0;0;0;0;2004
..trikolesnikov;0;0;0;0;0;2004
..drugih motornih vozil;1125;1;9;98;1017;2004
..koles;1224;21;155;786;262;2004
Potniki;7258;62;300;5271;1625;2004
Pešci;1022;35;217;683;87;2004
Drugi;1870;1;4;45;1820;2004
Vrste udeležencev - SKUPAJ;60937;258;1266;13048;46365;2005
Vozniki - SKUPAJ;53306;164;826;8708;43608;2005
..osebnih avtomobilov;43975;93;348;6739;36795;2005
..tovornih in specialnih vozil;5207;7;23;237;4940;2005
..avtobusov;507;0;2;11;494;2005
..traktorjev;287;4;8;27;248;2005
..motornih koles;845;34;191;400;220;2005
..mopedov in koles z motorjem;791;5;104;459;223;2005
..štirikolesnikov;0;0;0;0;0;2005
..trikolesnikov;0;0;0;0;0;2005
..drugih motornih vozil;548;3;3;40;502;2005
..koles;1146;18;147;795;186;2005
Potniki;5230;55;255;3688;1232;2005
Pešci;884;37;177;603;67;2005
Drugi;1517;2;8;49;1458;2005
Vrste udeležencev - SKUPAJ;62403;262;1220;14855;46066;2006
Vozniki - SKUPAJ;54501;170;803;9815;43713;2006
..osebnih avtomobilov;45142;96;370;7671;37005;2006
..tovornih in specialnih vozil;5186;2;14;275;4895;2006
..avtobusov;449;0;0;4;445;2006
..traktorjev;232;2;8;19;203;2006
..motornih koles;909;42;175;475;217;2006
..mopedov in koles z motorjem;784;12;82;455;235;2006
..štirikolesnikov;0;0;0;0;0;2006
..trikolesnikov;0;0;0;0;0;2006
..drugih motornih vozil;589;2;2;51;534;2006
..koles;1210;14;152;865;179;2006
Potniki;5385;55;251;4313;766;2006
Pešci;902;36;153;664;49;2006
Drugi;1615;1;13;63;1538;2006
Vrste udeležencev - SKUPAJ;58959;293;1263;14774;42629;2007
Vozniki - SKUPAJ;51668;196;828;10001;40643;2007
..osebnih avtomobilov;42264;116;365;7623;34160;2007
..tovornih in specialnih vozil;5118;4;18;271;4825;2007
..avtobusov;451;0;0;10;441;2007
..traktorjev;226;5;9;32;180;2007
..motornih koles;1038;40;178;542;278;2007
..mopedov in koles z motorjem;752;13;86;469;184;2007
..štirikolesnikov;33;0;5;17;11;2007
..trikolesnikov;3;0;0;2;1;2007
..drugih motornih vozil;406;1;3;37;365;2007
..koles;1377;17;164;998;198;2007
Potniki;4568;64;247;4004;253;2007
Pešci;981;32;181;708;60;2007
Drugi;1742;1;7;61;1673;2007
Vrste udeležencev - SKUPAJ;44139;214;1068;11341;31516;2008
Vozniki - SKUPAJ;38087;146;702;7599;29640;2008
..osebnih avtomobilov;30930;78;267;5691;24894;2008
..tovornih in specialnih vozil;3773;3;15;206;3549;2008
..avtobusov;350;0;0;6;344;2008
..traktorjev;173;2;6;21;144;2008
..motornih koles;852;38;193;437;184;2008
..mopedov in koles z motorjem;568;8;63;362;135;2008
..štirikolesnikov;37;1;5;14;17;2008
..trikolesnikov;4;0;0;2;2;2008
..drugih motornih vozil;223;0;3;20;200;2008
..koles;1177;16;150;840;171;2008
Potniki;3570;28;212;3064;266;2008
Pešci;854;39;143;624;48;2008
Drugi;1628;1;11;54;1562;2008
