"Cestnoprometne nesreèe in udeleženci v nesreèah po: DAN NESREÈE V"
"TEDNU, LETO , MERITVE"

" ";"2003";" ";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe"
"Ponedeljek";6273;26;1731;4516;12804;28;170;2277;10329;6067;36;1739;4292;12224;38;167;2319;9700;3108;39;1114;1955;6000;45;193;1537;4225;3386;33;1247;2106;6394;39;202;1721;4432;4673;35;1723;2915;9121;37;159;2285;6640;3393;34;1290;2069;6644;35;143;1674;4792;3142;18;1254;1870;6083;20;126;1633;4304;3033;12;1035;1986;5793;12;107;1286;4388;3454;19;1096;2339;6407;19;124;1397;4867;3195;14;973;2208;5854;16;112;1203;4523;3023;19;980;2024;5421;21;72;1191;4137;2813;14;964;1835;5201;16;117;1140;3928
"Torek";6124;29;1619;4476;12303;31;162;2116;9994;6234;24;1770;4440;12559;27;165;2396;9971;4634;21;1490;3123;9075;23;161;1916;6975;4663;33;1670;2960;9258;35;176;2169;6878;4278;34;1577;2667;8262;35;165;1997;6065;3311;16;1277;2018;6486;20;130;1629;4707;2898;27;1210;1661;5537;28;125;1531;3853;3040;12;1088;1940;5837;12;106;1352;4367;3252;10;1035;2207;5974;11;113;1255;4595;3246;13;1009;2224;5943;14;122;1224;4583;2658;16;890;1752;4818;16;69;1100;3633;2656;9;878;1769;4820;13;111;1001;3695
"Sreda";6119;29;1662;4428;12387;31;174;2199;9983;6363;31;1808;4524;12902;32;180;2431;10259;4298;27;1345;2926;8429;34;141;1712;6542;4368;32;1445;2891;8637;35;142;1976;6484;4220;29;1594;2597;8238;31;168;2036;6003;3274;16;1233;2025;6401;16;113;1574;4698;3137;21;1300;1816;6082;23;127;1699;4233;3330;18;1120;2192;6226;18;126;1346;4736;3386;18;986;2382;6225;18;109;1183;4915;3110;12;929;2169;5698;13;111;1093;4481;2757;13;941;1803;5075;13;105;1153;3804;2732;10;913;1809;5000;11;106;1059;3824
"Èetrtek";5886;28;1617;4241;11776;32;186;2113;9445;6199;34;1771;4394;12598;35;170;2417;9976;4521;34;1436;3051;8926;35;162;1797;6932;4597;29;1574;2994;9100;30;155;2068;6847;4391;29;1575;2787;8576;30;164;2049;6333;3316;34;1249;2033;6448;36;128;1608;4676;3012;22;1217;1773;5786;27;137;1527;4095;3149;19;1073;2057;5983;21;112;1370;4480;3654;17;1078;2559;6754;17;124;1316;5297;3273;21;951;2301;5974;21;100;1173;4680;2876;12;998;1866;5352;12;104;1216;4020;2708;10;877;1821;4985;10;93;1055;3827
"Petek";7099;32;1912;5155;14291;33;218;2510;11530;7770;45;2161;5564;15805;48;208;3009;12540;4784;25;1555;3204;9337;28;184;1988;7137;4462;25;1582;2855;9043;30;144;2129;6740;5376;38;1913;3425;10577;44;195;2492;7846;3839;34;1475;2330;7566;35;184;1863;5484;3346;18;1375;1953;6606;20;177;1828;4581;3770;28;1299;2443;7236;32;148;1633;5423;3975;22;1178;2775;7439;24;141;1419;5855;3820;15;1167;2638;7146;18;132;1448;5548;3165;19;1065;2081;5857;21;119;1322;4395;3019;15;1004;2000;5608;16;135;1220;4237
"Sobota";5436;39;1557;3840;10763;42;230;2184;8307;5976;48;1786;4142;11887;54;271;2582;8980;5373;48;1675;3650;10659;53;196;2199;8211;5719;35;1916;3768;11455;38;197;2576;8644;4182;51;1500;2631;8073;55;209;2186;5623;3101;36;1181;1884;5909;40;158;1663;4048;2850;24;1141;1685;5341;25;182;1535;3599;2877;22;1019;1836;5347;27;150;1325;3845;2930;22;935;1973;5320;27;168;1199;3926;3064;17;951;2096;5439;18;135;1205;4081;2520;19;863;1638;4599;20;137;1145;3297;2408;18;850;1540;4283;19;138;1055;3071
"Nedelja";4233;37;1358;2838;8320;45;253;1911;6111;4395;36;1432;2927;8641;40;230;2178;6193;4376;36;1464;2876;8511;40;229;1899;6343;4374;46;1556;2772;8516;55;204;2216;6041;3281;47;1269;1965;6112;61;203;1729;4119;2549;30;1033;1486;4685;32;212;1330;3111;2212;24;938;1250;4169;28;158;1329;2654;2148;16;799;1333;3926;16;116;1139;2655;2262;21;781;1460;3986;25;140;985;2836;2327;30;762;1535;3917;30;136;954;2797;1905;18;689;1198;3359;22;102;907;2328;1915;21;681;1213;3356;23;126;864;2343

"Vir: Ministrstvo za notranje zadeve - Policija"

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8204 target=_blank) Metodološka pojasnila"

