"Cestnoprometne nesreèe in udeleženci v nesreèah po: VRSTA CESTE, LETO ,"
"MERITVE"

" ";"2003";" ";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe"
"Vrsta ceste - SKUPAJ";41170;220;11456;29494;82644;242;1393;15310;65699;43004;254;12467;30283;86616;274;1391;17332;67619;31094;230;10079;20785;60937;258;1266;13048;46365;31569;233;10990;20346;62403;262;1220;14855;46066;30401;263;11151;18987;58959;293;1263;14774;42629;22783;200;8738;13845;44139;214;1068;11341;31516;20597;154;8435;12008;39604;171;1032;11082;27319;21347;127;7433;13787;40348;138;865;9451;29894;22913;129;7089;15695;42105;141;919;8754;32291;22035;122;6742;15171;39971;130;848;8300;30693;18904;116;6426;12362;34481;125;708;8034;25614;18251;97;6167;11987;33253;108;826;7394;24925
"Avtoceste";2009;20;463;1526;3828;21;79;678;3050;2409;15;504;1890;4508;21;57;807;3623;1696;24;403;1269;3199;26;49;592;2532;1851;22;444;1385;3631;28;62;687;2854;1757;23;447;1287;3488;30;54;712;2692;1519;9;386;1124;3090;9;50;565;2466;1503;15;475;1013;3025;20;55;725;2225;2290;13;468;1809;4270;18;58;670;3524;2077;13;425;1639;3982;16;60;647;3259;2052;18;423;1611;3760;20;59;632;3049;2040;14;419;1607;3708;16;44;568;3080;1820;11;360;1449;3406;16;51;548;2791
"Hitre in glavne ceste I., II. reda";6037;52;1752;4233;12923;59;244;2559;10061;6247;73;1835;4339;13661;80;247;2868;10466;4023;43;1361;2619;8528;58;197;1946;6327;4252;51;1580;2621;8919;64;219;2328;6308;3974;53;1489;2432;8287;58;203;2199;5827;3042;48;1179;1815;6309;56;173;1711;4369;2384;28;1020;1336;4891;35;163;1423;3270;2027;16;810;1201;4042;18;98;1161;2765;1866;27;693;1146;3656;29;114;983;2530;1871;18;625;1228;3592;23;89;849;2631;1657;14;675;968;3228;14;72;969;2173;1589;13;633;943;3033;14;97;857;2065
"Turistiène, reg. ceste I., II., III. reda";7725;70;2688;4967;15161;77;416;3530;11138;8068;68;2928;5072;15919;73;381;4084;11381;4750;69;2037;2644;9125;75;355;2636;6059;5118;70;2301;2747;9827;74;336;3061;6356;4903;89;2211;2603;9318;98;314;2987;5919;3534;69;1744;1721;6702;75;271;2284;4072;3213;44;1651;1518;6105;45;218;2209;3633;3172;38;1451;1683;5968;39;215;1849;3865;3395;42;1378;1975;5974;47;231;1670;4026;3486;40;1373;2073;6104;40;210;1748;4106;2645;37;1212;1396;4784;41;200;1485;3058;2573;32;1154;1387;4630;34;200;1403;2993
"Lokalne ceste";2260;18;759;1483;4045;20;128;952;2945;2305;27;847;1431;4094;28;134;1076;2856;1457;19;608;830;2563;19;84;771;1689;1558;18;656;884;2738;20;98;831;1789;1404;25;644;735;2333;27;93;754;1459;925;16;473;436;1572;16;86;547;923;892;13;479;400;1504;14;77;592;821;778;11;380;387;1301;11;66;423;801;969;5;411;553;1509;7;69;492;941;878;10;336;532;1296;10;59;378;849;630;8;297;325;1012;8;47;353;604;595;9;292;294;930;9;60;300;561
"Naselje z uliènim sistemom";18209;33;4336;13840;37404;36;343;5763;31262;18898;31;4774;14093;38787;31;391;6425;31940;15038;49;4227;10762;29933;51;384;5320;24178;14947;39;4574;10334;30205;40;346;6179;23640;14380;37;4763;9580;28394;40;425;6143;21786;10870;31;3751;7088;21300;31;309;4818;16142;9882;29;3636;6217;19258;31;348;4697;14182;10227;33;3260;6934;19768;34;286;4084;15364;11531;20;3122;8389;21747;20;300;3733;17694;10624;17;2982;7625;20002;18;300;3550;16134;9219;25;2822;6372;17225;28;212;3515;13470;8963;19;2719;6225;16692;20;286;3140;13246
"Naselje brez uliènega sistema";4930;27;1458;3445;9283;29;183;1828;7243;5077;40;1579;3458;9647;41;181;2072;7353;4130;26;1443;2661;7589;29;197;1783;5580;3843;33;1435;2375;7083;36;159;1769;5119;3983;36;1597;2350;7139;40;174;1979;4946;2893;27;1205;1661;5166;27;179;1416;3544;2723;25;1174;1524;4821;26;171;1436;3188;2853;16;1064;1773;4999;18;142;1264;3575;3075;22;1060;1993;5237;22;145;1229;3841;3124;19;1003;2102;5217;19;131;1143;3924;2713;18;1001;1694;4524;18;133;1144;3229;2711;13;1009;1689;4562;15;132;1146;3269

"Vir: Ministrstvo za notranje zadeve - Policija"
