"Udeleženci v cestnoprometnih nesreèah po: VRSTE UDELEŽENCEV, LETO ,"
"MERITVE"

" ";"2003";" ";" ";" ";" ";"2004";" ";" ";" ";" ";"2005";" ";" ";" ";" ";"2006";" ";" ";" ";" ";"2007";" ";" ";" ";" ";"2008";" ";" ";" ";" ";"2009";" ";" ";" ";" ";"2010";" ";" ";" ";" ";"2011";" ";" ";" ";" ";"2012";" ";" ";" ";" ";"2013";" ";" ";" ";" ";"2014";" ";" ";" ";" "
" ";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev - z hudo telesno poškodbo";"Število udeležencev - z lahko telesno poškodbo";"Število udeležencev - brez poškodbe"
"Vrste udeležencev - SKUPAJ";82644;242;1393;15310;65699;86616;274;1391;13332;67619;60937;258;1266;13048;46365;62403;262;1220;14855;46066;58959;293;1263;14774;42629;44139;214;1068;11341;31516;39604;171;1032;11082;27319;40348;138;865;9451;29894;42105;141;919;8754;32291;39971;130;848;8300;30693;34481;125;708;8034;25614;33253;108;826;7394;24925
"Vozniki - SKUPAJ";74012;153;840;10346;62673;76466;176;870;11333;64087;53306;164;826;8708;43608;54501;170;803;9815;43713;51668;196;828;10001;40643;38087;146;702;7599;29640;34116;110;716;7400;25890;35548;89;592;6456;28411;37227;94;620;5978;30535;35203;90;594;5678;28841;29806;86;485;5506;23729;28914;72;580;5139;23123
"..osebnih avtomobilov";62674;94;385;8308;53887;64474;108;406;9205;54755;43975;93;348;6739;36795;45142;96;370;7671;37005;42264;116;365;7623;34160;30930;78;267;5691;24894;28122;50;268;5454;22350;29487;45;231;4719;24492;30844;47;225;4137;26435;29163;52;187;3872;25052;24341;41;157;3794;20349;23448;41;174;3445;19788
"..tovornih in specialnih vozil";6343;4;17;286;6036;6837;6;19;318;6494;5207;7;23;237;4940;5186;2;14;275;4895;5118;4;18;271;4825;3773;3;15;206;3549;2690;5;11;182;2492;2965;2;13;167;2783;3067;2;16;140;2909;2876;2;10;118;2746;2583;4;15;117;2447;2457;1;15;112;2329
"..avtobusov";602;0;1;9;592;643;0;1;11;631;507;0;2;11;494;449;0;0;4;445;451;0;0;10;441;350;0;0;6;344;330;0;1;9;320;358;0;0;3;355;354;0;0;5;349;306;0;1;6;299;289;-;-;3;286;328;-;2;3;323
"..traktorjev";343;7;10;37;289;363;11;7;29;316;287;4;8;27;248;232;2;8;19;203;226;5;9;32;180;173;2;6;21;144;164;5;6;25;128;190;2;5;17;166;159;1;6;14;138;135;1;3;12;119;160;4;6;17;133;145;-;4;19;122
"..motornih koles";837;26;172;360;279;918;23;169;432;294;845;34;191;400;220;909;42;175;475;217;1038;40;178;542;278;852;38;193;437;184;792;28;168;424;172;703;17;139;376;171;805;28;149;414;214;707;18;133;386;170;603;18;100;327;158;602;15;127;315;145
"..mopedov in koles z motorjem";972;6;99;491;376;882;6;104;454;318;791;5;104;459;223;784;12;82;455;235;752;13;86;469;184;568;8;63;362;135;553;3;78;360;112;514;6;72;303;133;477;2;65;280;130;437;4;58;272;103;344;3;44;224;73;396;2;50;263;81
"..štirikolesnikov";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;5;17;11;37;1;5;14;17;52;1;11;20;20;43;1;8;14;20;41;0;10;15;16;35;1;3;15;16;41;-;7;20;14;31;-;7;8;16
"..trikolesnikov";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;4;0;0;2;2;3;0;0;3;0;4;0;0;2;2;6;0;0;3;3;6;0;1;2;3;10;-;1;4;5;8;-;1;4;3
"..drugih motornih vozil";998;2;6;65;925;1125;1;9;98;1017;548;3;3;40;502;589;2;2;51;534;406;1;3;37;365;223;0;3;20;200;161;0;0;17;144;147;0;0;13;134;113;0;1;6;106;87;0;0;4;83;82;-;1;9;72;90;-;1;4;85
"..koles";1243;14;150;790;289;1224;21;155;786;262;1146;18;147;795;186;1210;14;152;865;179;1377;17;164;998;198;1177;16;150;840;171;1249;18;173;906;152;1137;16;124;842;155;1361;14;148;964;235;1451;12;198;991;250;1353;16;154;991;192;1409;13;199;966;231
"Potniki";6041;51;340;4298;1352;7258;62;300;5271;1625;5230;55;255;3688;1232;5385;55;251;4313;766;4568;64;247;4004;253;3570;28;212;3064;266;3403;36;167;3027;173;2717;22;143;2413;139;2542;22;161;2138;221;2355;19;132;2027;177;2261;17;116;2012;116;1970;21;117;1714;118
"Pešci";1002;38;211;648;105;1022;35;217;683;87;884;37;177;603;67;902;36;153;664;49;981;32;181;708;60;854;39;143;624;48;822;24;143;604;51;743;26;124;536;57;780;21;135;574;50;724;19;110;555;40;643;20;99;478;46;677;14;124;482;57
"Drugi";1589;0;2;18;1569;1870;1;4;45;1820;1517;2;8;49;1458;1615;1;13;63;1538;1742;1;7;61;1673;1628;1;11;54;1562;1263;1;6;51;1205;1340;1;6;46;1287;1556;4;3;64;1485;1689;2;12;40;1635;1771;2;8;38;1723;1692;1;5;59;1627

"Vir: Ministrstvo za notranje zadeve - Policija"

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8204 target=_blank) Metodološka pojasnila"

